"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria.BacteriaU.BacteriaUU.BacteriaUUU.BacteriaUUUU.BacteriaUUUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes",1923.30093599902,2479.6894848271,1083.41429061558,1560.59433705673,2142.00213548709,1682.87867478872,1776.94000967586,1745.93235842235,2171.9266309187,807.011494252874,1743.09910415539,1653.16949499778,1534.93574684828,1701.9600529312,1279.25266467505,1082.44835318269,936.837317412536,2097.47977763586,958.020385436323,2099.45150228735,1190.21209597981,1088.15534328412,1353.83391703171,2581.32760446277
"Bacteria.Bacteroidetes.BacteroidetesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.BacteroidetesU.BacteroidetesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.BacteroidetesU.BacteroidetesUU.BacteroidetesUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.BacteroidetesU.BacteroidetesUU.BacteroidetesUUU.BacteroidetesUUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia",1656.5335194384,2390.22582921665,872.298163563806,1439.87694962625,2113.15496242215,1425.93841042063,1690.78616352201,1684.20320301826,2026.49439047073,555.29945553539,1529.71213664148,1465.38225151091,1456.47161046687,1648.3433972044,1039.24115096249,948.947460854524,898.981252831595,1953.14725892813,793.484548519814,1976.85167021083,1067.38447926287,1046.05484126664,1269.59221862165,2454.10037553152
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales",1656.5335194384,2390.22582921665,872.298163563806,1439.87694962625,2113.15496242215,1425.93841042063,1690.78616352201,1684.20320301826,2026.49439047073,555.29945553539,1529.71213664148,1465.38225151091,1456.47161046687,1648.3433972044,1039.24115096249,948.947460854524,898.981252831595,1953.14725892813,793.484548519814,1976.85167021083,1067.38447926287,1046.05484126664,1269.59221862165,2454.10037553152
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae",1.79605074099922,4.94001411432604,2.52803409234547,4.92389071776259,0,26.6856074286311,74.5041122399613,7.16926817807522,8.31041373988405,0,4.82053409796186,0.997883019769864,1.37608096074041,10.059834214578,0,20.4044006462365,3.76053621664986,25.3813184653927,91.3841370990194,3.92344572697526,5.61347983624677,0,0.389923900068075,2.55960669624162
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides",1.79605074099922,4.94001411432604,2.52803409234547,4.92389071776259,0,26.6856074286311,74.5041122399613,7.16926817807522,8.31041373988405,0,4.82053409796186,0.997883019769864,1.37608096074041,10.059834214578,0,20.4044006462365,3.76053621664986,25.3813184653927,91.3841370990194,3.92344572697526,5.61347983624677,0,0.389923900068075,2.55960669624162
