"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22"
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Slackia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU.BacteriaUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU.BacteriaUUU.BacteriaUUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU.BacteriaUUU.BacteriaUUUU.BacteriaUUUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes",3105.49,448.12,472.71,392.54,1251.38,284.56,490.88,857.83,1060.76,613.47,397.42,297,486.76,1953.63,1130.6,1221.43,4215.87999999998,1048.12,1584.37,446.98,2130.93,329.74
"Bacteria.Bacteroidetes.BacteroidetesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.BacteroidetesU.BacteroidetesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.BacteroidetesU.BacteroidetesUU.BacteroidetesUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.BacteroidetesU.BacteroidetesUU.BacteroidetesUUU.BacteroidetesUUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia",2450.71,443.27,442.64,352.53,1245.73,257.98,483.68,830.860000000001,1044.24,560.16,264.53,284,460.9,1879.79,1109.88,1060.11,4171.78999999997,1039.27,1569.05,410.99,1820.99,324.36
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales",2450.71,443.27,442.64,352.53,1245.73,257.98,483.68,830.860000000001,1044.24,560.16,264.53,284,460.9,1879.79,1109.88,1060.11,4171.78999999997,1039.27,1569.05,410.99,1820.99,324.36
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae",1,1,4,0,1,2,0,0.8,332,4,0,1,2,4.89,0.83,9,9,22,14,57,56,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides",1,1,4,0,1,2,0,0.8,332,4,0,1,2,4.89,0.83,9,9,22,14,57,56,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidales_incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidales_incertae_sedis.Phocaeicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.BacteroidalesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.BacteroidalesU.BacteroidalesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae",446.96,2,52,26,0,101,1,14,129.66,42,92.92,2,214.99,552.6,77,376.95,167.6,6,592.84,151,200.98,5
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella",0,0,0,0,0,0,0,0,25.28,0,0,1,0,0,0,0,0,0,0,0,5,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Butyricimonas",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Dysgonomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Odoribacter",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides",0,1,0,0,0,0,0,0,70,1,0,0,0,0,0,1,0,0,1,120,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.PorphyromonadaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Porphyromonas",315.41,0,48.87,24.91,0,99.74,1,13.98,8.98,35.88,84.74,1,212.72,543.500000000001,76.82,353.28,133.85,5.98,585.310000000001,28.96,172.41,2
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Tannerella",126.72,0,2.88,1,0,0.94,0,0,0,4.89,5.83,0,1.96,1.94,0,20.37,13,0,0.95,0.98,22.32,2.94
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae",1922.62,387.63,366.79,310.48,1197.12,114.81,456.09,709.6,528.73,471.32,137.3,281,191.48,1201.6,999.07,458.26,3365.41,941.28,862.95,189.81,1483.73,300.24
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Hallella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Paraprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella",1737.31,372.93,365.92,306.72,1185.49,109,450.97,649.06,526,453.88,124.79,280.99,150.94,1142.22,972.95,401.7,3086.95,916.85,799.84,188.97,1380.83,277.81
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.PrevotellaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae",0,0,1,0,0,0,0,0,45.94,0,0,0,0,0,0,1.91,0,1,2,13,3,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes",0,0,1,0,0,0,0,0,45,0,0,0,0,0,0,0,0,1,2,13,3,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.RikenellaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria",646,4,27.98,37,2,22.98,7,25,13,48.99,128.82,13,23,69.98,20,133.99,16,7.99,10,35.98,281,5
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales",646,4,27.98,37,2,22.98,7,25,13,48.99,128.82,13,23,69.98,20,133.99,16,7.99,10,35.98,281,5
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae",646,4,27.97,37,2,22.98,7,24.98,13,48.99,128.8,13,23,69.98,20,133.99,16,7.99,10,35.98,281,5
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.Capnocytophaga",641,1,10,36.99,2,18,2,7,9,46,124.79,13,20,55,17,122,10.96,6,6,5,272,5
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.Chryseobacterium",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.Cloacibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.FlavobacteriaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.Flavobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
