"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Rikenella",0,0,0,1.16556816492393,0,0,0,0,0,1.23425884606594,0,0,0,0,0,0.33022533022533,0,0.232501685329676,0.729091572965332,3.34400828117166,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.RikenellaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819204014567788,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819204014567788,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819204014567788,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.Capnocytophaga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819204014567788,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.Cloacibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.Flavobacteriaceae.Planobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.FlavobacterialesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Flavobacteria.Flavobacteriales.FlavobacterialesU.FlavobacterialesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
